@relation Target

@attribute InvetmentName {TGTG.DE,UUUG.DE,VSCk.DE,HRPKk.F,LUMG.F,AAQG.DE,ARLG.DE,E7SG.DE,ADNGk.DE,ADSGn.DE,ADDG.DE,ADLG.DE,ADAG.DE,AGXG.F,AAHG_p.F,AAHG.F,AIXGn.DE,ABAG.F,MTVG.DE,A1OS.DE,AEIG.DE,SWOG.F,ALVG.DE,ANOG.DE,ATFG.DE,AOXG.DE,AMDG.DE,TXAG.F,AROG.DE,AYDGn.DE,5ABG.F,AOFG.DE,NSUG.DE,NAFG.DE,AVES.DE,SPRGn.DE,BTTG.F,BASFn.DE,BSLG.DE,BST1.DE,B5AG.DE,BAYGn.DE,BYWGnx.DE,BYWG.DE,BKTG_p.F,USEG.DE,BC8G.DE,BEIG.DE,BEZ.DE,MBHG_p.F,BDTG.DE,ARTG.DE,BHSG.F,BIJG.DE,GBFG.DE,B8FGn.DE,BIOG.DE,BIOG_p.DE,BTBA.DE,BMWG_p.DE,BMWG.DE,BSYG.F,BNNn.DE,BNRGn.DE,DTDGk.DE,BVB.DE,COKG.DE,HWAG.DE,CSHG.DE,CEVG.DE,CWCG.DE,CSGG.F,CU1G.DE,CAGGk.DE,CNWKk.DE,CDBG.DE,CBKG.DE,COPMa.DE,EV4G.DE,CONG.DE,1COV.DE,ACWNn.DE,AFXG.DE,CE2G.DE,CURG.DE,DAIGn.DE,DAMG.DE,FAM1.F,ERMGk.DE,333.DE,DEXGn.DE,DMRE.DE,DBKGn.DE,DBANn.DE,DB11.DE,DEQGn.DE,PBBG.DE,DPWGn.DE,DTEGn.DE,DWNG.DE,DREGa.F,DEZG.DE,DFTKn.DE,DICn.DE,WING.DE,DIEG.F,GILG.DE,HNLG.DE,DRWG_p.DE,DRWG.DE,DRIG.DE,DKAG.F,DUEG.DE,DVBG.F,EONGn.DE,ESYG.DE,EUZG.DE,E4CG.DE,EING_p.DE,EISG.F,ELNk.F,ELGG.DE,ZILGn.DE,ELBG.DE,EMQG.DE,EBKG.DE,EKTG.F,EXJ.F,ECXn.F,EUCAn.DE,EVDG.DE,EVKn.DE,EVTG.DE,BTCGk.F,FVIG.DE,HBD1.F,FIEG.DE,SISG.DE,FRSG.DE,FEVG.DE,FPHG.DE,FRAG.DE,FNTGn.DE,FREG.DE,FMEG.DE,FNGG.F,CEAG.DE,FROG_p.F,FROG.F,FPEG_p.DE,FPEG.DE,G1AG.DE,WWGG.F,GMEG.DE,GXIG.DE,GWIG.DE,GSC1n.DE,GFKG.DE,GFTG.DE,GGS.DE,GKSG.DE,GMMG.DE,GLJn.DE,GIBG.F,G7BG.F,2HR.DE,HABG.DE,HNRGn.DE,H9YG.F,HLAG.DE,HAWG.DE,IPOG.F,HEIG.DE,HDDG.DE,H2Fn.DE,HLE.DE,HNKG.DE,HNKG_p.DE,RTMLk.F,HHFGn.DE,HOTG.DE,HOC.DE,HBMG.DE,HBH.DE,BOSSn.DE,HYQGn.DE,IFAG.F,FAOGn.DE,INHG.DE,IFS1.F,IFXGn.DE,IXXG.DE,IGY.DE,ISHG.DE,ITMG.DE,IS7G.DE,IVXG.DE,ISRG.DE,I7NG.DE,IVUG.DE,JENG.DE}
@attribute 'VaR_95(\%)' numeric
@attribute StdDev numeric
@attribute 'Risk_of_Loss (\%)' numeric
@attribute Beta numeric
@attribute Sharpe numeric

@data
GFTG.DE,-101.08,0.638577,58.02,0.027651,0.022046
GGS.DE,-5.64,0.034259,40.71,0.000531,0.043779
GKSG.DE,-176.52,1.004973,31.45,0.002331,0.04109
GMMG.DE,-165.57,0.962525,42.75,0.039131,0.036056
GLJn.DE,-480.05,2.998028,54.2,0.100155,-0.005693
GIBG.F,-457.34,2.732995,4.21,-0.004916,0.130312
G7BG.F,-0.49,0.003003,1.91,0.000003,0.02806
2HR.DE,-50.31,0.29267,47.71,0.009346,0.030979
HABG.DE,-18.26,0.114436,58.4,0.004676,0.024906
HNRGn.DE,-249.36,1.539226,48.85,0.084179,0.022895
H9YG.F,-21.07,0.124299,7.63,0.00078,0.031472
HLAG.DE,-70.43,0.433103,55.73,0.007731,0.025095
HAWG.DE,-95.94,0.571268,35.86,0.002651,0.026364
IPOG.F,-22.02,0.132174,1.27,0.001582,0.048339
HEIG.DE,-220.81,1.320207,49.24,0.082675,0.034156
HDDG.DE,-8.24,0.049962,55.34,0.002227,0.027499
H2Fn.DE,-15.95,0.107105,45.31,0.000998,0.021744
HLE.DE,-119.06,0.733367,55.34,0.039959,0.022955
HNKG.DE,-197.83,1.197294,52.29,0.054123,0.021158
HNKG_p.DE,-230.24,1.398022,50.76,0.075253,0.025227
RTMLk.F,-208.95,1.328713,3.46,-0.001232,0.031593
HHFGn.DE,-41,0.242944,47.33,0.008499,0.027478
HOTG.DE,-320.38,1.834607,43.51,0.078007,0.059893
HOC.DE,-10.33,0.065098,40.47,0.001428,0.026677
HBMG.DE,-66.1,0.414662,60.31,0.006946,0.022241
HBH.DE,-194.74,1.203645,50.76,0.028293,0.022146
BOSSn.DE,-253.84,1.623631,55.34,0.054848,0.008535
HYQGn.DE,-389.49,2.386362,52.67,0.081184,0.024049
IFAG.F,-27.94,0.163131,12.98,0.001338,0.035308
FAOGn.DE,-80.45,0.478953,37.79,0.003615,0.055739
INHG.DE,-112.62,0.667167,48.85,0.031051,0.028304
IFS1.F,-5.52,0.033533,4.23,0.000004,0.031389
IFXGn.DE,-46.77,0.275985,43.51,0.013366,0.03006
IXXG.DE,-55.81,0.348359,61.83,0.005594,0.020712
IGY.DE,-86.96,0.599152,60,0.026869,0.039907
ISHG.DE,-6.51,0.0402,45.04,0.000333,0.028099
ITMG.DE,-8.1,0.053007,28.92,-0.000611,0.034056
IS7G.DE,-18.92,0.11484,21.05,-0.000684,0.004279
IVXG.DE,-152.86,0.950381,32.16,0.017623,0.025097
ISRG.DE,-308.77,1.784105,51.91,0.051687,0.023609
I7NG.DE,-10.28,0.064202,36.63,0.000984,0.080316
IVUG.DE,-13.36,0.085053,49.62,0.001814,0.032965
JENG.DE,-42.84,0.257007,50.76,0.012765,0.028191
