	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
HBMG.DE	0,0127908	0,0102924	0,0288077	1,8233936	2,9553674	0,2582561	0,5272895	3,1455603	0,2766928
AM3D.DE	0,0390521	0,0839308	0,0459343	4,0479571	4,9689639	0,0514393	0,0675023	1,1453299	-9,8358183
AIXGn.DE	0,0335281	0,0042591	0,0549339	3,8411709	4,7063862	0,0000000	0,0000000	-0,0000000	7,5400673
SAHGk.F	0,0178057	0,0227683	0,0296614	3,2683963		0,0000000	0,0000000		
SLTG.DE	0,0194839	0,0332536	0,0353570	2,1851444	2,9481482	0,3511148	1,6672521	3,2451417	2,9017358
PRAG.DE	0,1245889	0,0680697	0,1081247	1,3412226	2,3298516	0,3835456	4,2480774	-11,1029296	-8,7124480
V33G.F	0,0755360	0,0737829	0,0711520	16,0772400	16,2947261	0,0000000	0,0000000	0,0000000	-33,8373663
DAMG.DE	0,0125849	0,0116285	0,0402386	2,9153005	4,3386824	0,0774388	0,1161903	0,4312735	0,4004682
GKSG.DE	0,0217721	0,0154145	0,0409023	1,4531335	1,5278485	0,2172746	0,5082593	6,1491878	
SHFG.DE	0,0276012	0,0245866	0,0482650	2,1890333		0,3303597	0,9326874	2,8626108	-0,1393774
SW1.DE	0,0290056	0,0236399	0,0376992	1,3269961	1,9085182	0,0756260	0,1499398	0,4106545	0,2898073
EVTG.DE	0,0211173	0,0107119	0,0475627	2,9599291	3,0154787	0,0817085	0,1270930	0,7648834	-1,7223122
WUWGn.DE	0,0159152	0,0120263	0,0299454			0,0779909	1,5935439		
IVUG.DE	0,0232354	0,0144918	0,0550624	2,4763347	2,6508357	0,0039276	0,0062435	0,0409357	
IVXG.DE	0,0200460	0,0208705	0,0531408	1,6926387		0,2281871	0,3880236	1,0149653	-0,2966822
ULCG.DE	0,0333257	0,0259313	0,0628964	0,6185015	0,8829785	0,3233817	2,9311515	3,9680296	
MBBG.DE	0,0227648	0,0217170	0,0439474	1,6671236	1,9800957	0,2061562	0,5593072	1,8538645	0,4484667
ELGG.DE	0,0228323	0,0152185	0,0473397	3,4275916	4,6645390	0,1199924	0,1685070	0,7159884	-0,4443575
8S9.F	0,1504790	0,3230221	0,1589268	3,0791048	3,4674973	0,0571870	0,0792025	0,1824709	
AAQG.DE	0,0338191	0,0179064	0,0571794	3,1819639	4,0415739	0,1008263	0,1374451	-0,9093894	-0,3775443
AT8.BE	0,0383084	0,0273308	0,6163484	2,1851572	2,1851572	0,0003502	0,0004052	-0,0007760	
DIEG.F	0,0199104	0,0195703	0,0452498	1,2100425	1,7838606	0,3437827	1,3629213	8,4505530	
BNNn.DE	0,0255644	0,0369669	0,0420498	1,9503036		0,0000000	0,0000000	-0,0000000	
MSHGn.F	0,0254439	0,0175600	0,0397019	1,7650730	2,7752422	0,3712905	0,9528241	3,3531748	
MYRKk.F	0,0545491	0,0435701	0,0966603	1,3584848		0,1693313	-0,2463670	0,7289167	
IFS1.F	0,0139586	0,0112956	0,0424922	1,4307878	1,4418151	0,0073149	0,0308852	0,0804326	
SIXG_p.DE	0,0171636	0,0124650	0,0384676	1,4871894	1,5428231	0,4997371	1,9150368	3,1883945	
CBKG.DE	0,0302602	0,0198975	0,0528655			0,0890151	1,6195225		
FROG_p.F	0,3768957	0,0195325	0,4842475						
SAXG.DE	0,0258255	0,0152536	0,0413793	0,6767846	0,6843963	0,2388801	0,5288943	1,7557037	1,2857647
OBSG.DE	0,0160378	0,0162447	0,0459512	2,2846121	2,2846121	0,0250556	0,0408272	0,3548929	
BTBA.DE	0,0384114	0,0326561	0,0512305	2,5697039	2,7544796	0,0955724	0,1473863	-1,4248264	-2,5228924
EBKG.DE	0,0180157	0,0196941	0,0273796	1,3550070	1,4495958	0,1983374	2,3391130	3,9106082	4,3197437
STEM.DE	0,1435130	0,0590897	0,2171178						
TURG.F	0,0285840	0,0197258	0,0450114	1,7761433	2,8102814	0,2226397	0,5845612	1,6719986	
TEGG.DE	0,0156465	0,0096032	0,0365994	0,5602788	0,6049396	0,6192564	2,1652719	14,6478102	14,3137357
BSYG.F	0,1481100	0,2419055	0,1600099						
SISG.DE	0,0210675	0,0178671	0,0400766	2,5407553	3,5484051	0,3552536	0,7715381	4,8239561	2,4416136
SWVKk.DE	0,0573027	0,0382879	0,0771567	2,3407481	3,1436675	0,4671869	1,9430047	11,8985898	8,3467706
SIEGn.DE	0,0168676	0,0135130	0,0323037	1,2892394	1,7123916	0,2707828	0,9950601	3,4365031	2,0306576
S92G.DE	0,0319579	0,0222973	0,0634536	2,2308145	2,7034367	0,0604767	0,1230740	0,6476712	-1,2508421
VOWG_p.DE	0,0263888	0,0137094	0,0423440	0,9791096	1,2151405	0,3818398	1,6561208	3,1457722	0,0940666
BKTG_p.F	0,1923683	0,0592725	0,3195286						
SY1G.DE	0,0142180	0,0089942	0,0328360	2,7471571	3,8070264	0,3378159	0,9011899	2,4845699	2,0963781
BMWG.DE	0,0208017	0,0115104	0,0348236	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313	0,0335535
7PR.F	0,0000000	0,0000000	0,0719707						
MANG.DE	0,0050946	0,0033340	0,0356178	0,9253751	1,3350750	0,2864163	0,9472243	3,7833698	1,8502310
AOFG.DE	0,0274854	0,0162761	0,0412226	2,9122484	2,9130780	0,0000000	0,0000000	0,0000000	1,9658639
PV.DE	0,0214338	0,0090812	0,0342720	2,9819015	3,8461735	0,0456753	0,0679127	0,2755497	-0,6823618
HOTG.DE	0,0193979	0,0103297	0,0414611	1,3309527	1,4427570	0,2007936	1,2428410	2,5933913	-0,2957983
HACGn.DE	0,0252067	0,0231067	0,0530768	1,2209043		0,0000000	0,0000000	0,0000000	
PGNG.DE	0,0345042	0,0152474	0,0604068	1,2117122	1,6253273	0,5172123	2,4671683	3,8306658	2,6404449
RKBG.F	0,0194904	0,0158501	0,0630731	1,0839782	1,5219261	0,1405007	0,2470649	4,2212389	
ARTG.DE	0,0240285	0,0206530	0,0536027	3,7271554		0,0000000	0,0000000	0,0000000	-2,1333083
DWNG.DE	0,0140956	0,0144866	0,0467122	2,4503053	2,6417486	0,3827846	0,7881911	5,0009803	4,3472366
ITMG.DE	0,0536675	0,0277088	0,1277550	0,6630497	0,6813250	0,0000000	-0,0000000		
VBKG.DE	0,0335543	0,0398084	0,0703712	2,6226378	3,0937713	0,0367880	0,0468587	0,1763684	
WTBG_p.F	0,0519767	0,0000000	0,3395791	1,3838204	1,5702377	0,1376264	1,3226937	3,3372279	
CE2G.DE	0,0288746	0,0195928	0,0448960	1,0863016	1,5552192	0,0103284	0,0166360	0,0473557	0,7151035
STAGn.DE	0,0183560	0,0116206	0,0369658	1,2725295	1,7810116	0,4802320	1,6687652	3,9279215	4,9342377
EVKn.DE	0,0190460	0,0090869	0,0253273	2,1732770	2,7464239	0,0914437	0,2075270	0,7179132	0,4097333
WDL.DE	0,0337196	0,0135905	0,0523157	3,6474268	4,4358072	0,0528725	0,0733909	-0,3124097	1,1777771
HRPKk.F	0,0234666	0,0276271	0,0716086	1,5223258	1,5332460	0,6855779	2,9185869	8,3789124	6,4578525
VDNG.F	0,1974699	0,0914495	0,2395620						
FPEG.DE	0,0157033	0,0106818	0,0346591	2,2893157	3,1812725	0,0118768	0,0165544	0,0474785	
RSL2.DE	0,0155934	0,0121784	0,0374609	2,1543025	3,0058438	0,1293178	0,3579002	1,9724259	4,0964274
EING_p.DE	0,0153398	0,0072261	0,0361575	2,4638379	3,8310011	0,1081235	0,2080830	1,7179460	1,4263828
GIBG.F	0,0380533	0,0241880	0,0396027	2,5828347		0,3476695	0,6624968	10,4937658	
FROG.F	0,1239959	0,0153620	0,3579035						
PUZG.F	0,1230248	0,0000000	0,2681628	1,2121584	1,6331901	0,5705369	5,7883019	-7,6408094	
CAGGk.DE	0,0124565	0,0075892	0,0801482	3,0115959	3,0115959	0,0000000	0,0000000	-0,0000000	629,5202952
FNTGn.DE	0,0153326	0,0079492	0,0400863	0,7876857	0,8652223	0,2345482	0,4822680	1,7267619	1,0445752
SIMG.F	0,0367287	0,0311964	0,0374370	4,4451446	6,2461087	0,0387457	0,0676681	0,3074968	
US5.F	0,1959416	0,1132990	0,2297710	6,4791163	6,5350269	0,0152487	0,0176930	0,0579974	
BASFn.DE	0,0158787	0,0119154	0,0311751	1,7256252	2,4065046	0,2241092	0,5134882	1,4152625	1,1526529
BSLG.DE	0,0179014	0,0128074	0,0466313	3,4994363	4,6025418	0,2852838	0,4841823	1,5931672	0,7794289
BMWG_p.DE	0,0200310	0,0102227	0,0340093	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313	
CU1G.DE	0,0202084	0,0137323	0,0351903	2,5951737		0,5580692	1,4760034	7,4399046	7,0479713
SKBG.DE	0,0291344	0,0142414	0,0416340	1,4931246	2,0712926	0,0835295	0,3165244	1,7361702	0,4059043
RSBG.F	0,1998849	0,0000000	1,0713192	3,2636735	4,9722449	0,0062555	0,0076397	-0,0059310	
1COV.DE	0,0215364	0,0215332	0,0343356	0,9283523	1,3190184	0,2708195	0,7931034	1,7993691	1,9036772
UPRG.F	0,3470447	0,0886657	0,3568907	1,0981518	1,1589337	0,5880747	12,8564183	8,5854612	
SFPGk.F	0,0464781	0,0069847	0,1636311	1,4740000		0,0000000			
FEVG.DE	0,0099900	0,0115763	0,0335084	3,6323631	5,7155596	0,1632306	0,2618170	0,9883511	
IGY.DE				1,2482292	1,2721983	0,3273132	1,1397081	4,7473105	
