InvestmentName,VaR_95(%),StdDev,Risk_of_Loss (%),Beta,Sharpe,stddev,stddev_1M,VaR95_daily,current_ratio,quick_ratio,debt_ratio,gearing,leverage,net_leverage
DRWG_p.DE,"-221,01","1,3358993","50,76","0,0441219","0,0243931","0,0226284","0,017681","0,0420695","1,7092551","2,1997186","0,1387338","0,3395784","2,0327026","1,7930514"
DRWG.DE,"-164,31","1,0015916","52,11","0,0271125","0,0235006","0,0199283","0,0130907","0,0316747","1,7092551","2,1997186","0,1387338","0,3395784","2,0327026","1,7930514"
DRIG.DE,"-126,43","0,7862715","53,44","0,0275542","0,0237196","0,0219796","0,0141887","0,0451533","1,4113994","1,5724073","0,2428757","0,473819","1,4500746","-0,0960232"
DKAG.F,"-131,33","0,7746339","15,27","0,0053895","0,0561615","0,0319948","0,0419973","0,0641275","3,8459668","4,9263367","0,0468957","0,0904655","0,1989185",
DUEG.DE,"-247,11","1,5131488","52,29","0,0841087","0,0181456","0,0247828","0,0138811","0,0405234","1,0695899","1,2988082","0,199425","0,8544391","1,9942377","-0,1526513"
DVBG.F,"-39,98","0,2502909","10,34","0,0002197","0,0270388","0,0094121","0,0099969","0,0170108",,,"0,5217715","9,7142657",,
EONGn.DE,"-30,1","0,1872251","53,82","0,0087758","0,0268377","0,0263709","0,0184267","0,0337759","1,1984511","1,2745784","0,1560518","1,0799197","2,8112819","0,8189259"
ESYG.DE,"-22,29","0,1265821","18,38","0,0009741","-0,0013408","0,0243499","0,0194547","0,051878","1,1019438","1,1463131","0,1359654","0,2206623","1,011134",
EUZG.DE,"-46,53","0,2748605",50,"0,0060922","0,0274751","0,0133815","0,0100996","0,0360807","2,2584381","2,8960444","0,0789522","0,1557551","1,2006495","-0,0695894"
E4CG.DE,"-32,6","0,193272","42,04","0,0020372","0,0192453","0,0200577","0,0170677","0,0565021","1,2064365","1,2064365","0,1021971","0,262061","0,7523118","0,0146525"
EING_p.DE,"-94,26","0,542521","41,77","0,0046178","0,0339036","0,0153398","0,0072261","0,0361575","2,4638379","3,8310011","0,1081235","0,208083","1,717946","1,4263828"
EISG.F,"-59,1","0,3595743","9,54","0,0012653","0,0414433","0,0226814","0,0171194","0,0382973","386,3623188",,0,0,0,
ELNk.F,"-23,65","0,1385077","24,14","0,0001137","0,0348782","0,0612979","0,037534","0,1209223","0,9413899",,0,0,,
ELGG.DE,"-43,63","0,2642852","44,66","0,009956","0,0289119","0,0228323","0,0152185","0,0473397","3,4275916","4,664539","0,1199924","0,168507","0,7159884","-0,4443575"
ZILGn.DE,"-73,16","0,4643214","61,83","0,0217509","0,0211108","0,0254624","0,0144317","0,0435419","1,6306296","2,3899345","0,3033702","0,651984","2,4047593","2,0937108"
ELBG.DE,"-63,13","0,3954032","43,58","0,0004858","0,0877005","0,0309103","0,0163641","0,0574794","4,9577453","8,3949158","0,1911678","0,2851323","-2,9445793","4,7228964"
EMQG.DE,"-2,56","0,0155134","19,67","0,0000209","0,0012111","0,7191011","1,4475621","0,4959442","1,110273","1,603952","0,408963","1,1164118","17,9505882",
EBKG.DE,"-65,76","0,4098522","41,04","0,0039125","0,0117114","0,0180157","0,0196941","0,0273796","1,355007","1,4495958","0,1983374","2,339113","3,9106082","4,3197437"
EKTG.F,"-42,34","0,2488011","21,07","0,0016283","0,0427444","0,0198642","0,0204418","0,0515878","2,1907619","2,6223494","0,6993746","5,5317677","4,2371201","4,2008258"
EXJ.F,"-3,19","0,0194721","0,76","-0,0000638","0,0282223","1,0032315","0,1670263","0,4893959","103,5490196",,0,0,0,
ECXn.F,"-35,94","0,2119479","45,95","0,0033104","0,0299205","0,0756484","0,0104422","0,0840008","2,0397501","2,2436116","0,0849341","0,1507467","-0,1242741","0,7449477"
EUCAn.DE,"-29,7","0,1870799","51,72","0,0021357","0,0289099","0,0276007","0,0132772","0,0382103","0,9025545","1,1179696","0,3389785","0,9501004","13,2561363","13,4204447"
EVDG.DE,"-84,8","0,5361393","54,2","0,0236917","0,0228382","0,0168322","0,0131022","0,0359285","1,1083716","1,1119011","0,3601412","1,1869742","2,2199574","-0,9040771"
EVKn.DE,"-80,85","0,508668","55,73","0,0255635","0,0239755","0,019046","0,0090869","0,0253273","2,173277","2,7464239","0,0914437","0,207527","0,7179132","0,4097333"
EVTG.DE,"-14,04","0,080777","51,15","0,0035726","0,0279715","0,0211173","0,0107119","0,0475627","2,9599291","3,0154787","0,0817085","0,127093","0,7648834","-1,7223122"
BTCGk.F,"-28,05","0,1609129","44,66","0,0023601","0,0309614","0,0246854","0,0137704","0,1691447","1,4783439","2,2791416","0,6380043","2,208407","-30,4420078",
FVIG.DE,"-22,32","0,1345859","41,58","-0,0009507","0,0451608","0,0173631","0,0129064","0,0404014","0,873074",,"0,4362223","1,2288153","9,539485","8,7575296"
HBD1.F,"-14,96","0,0890181","6,11","-0,0002917","0,029649","0,0544339","0,0071792","0,2011677","181,7241379",,0,0,,
FIEG.DE,"-138,98","0,8602475","50,76","0,026662","0,0211721","0,0120474","0,0060194","0,0251628","2,7189538","3,4083646","0,0018572","0,0024792","0,0059289","-0,8914258"
SISG.DE,"-41,48","0,2470724","47,1","0,0062519","0,0298588","0,0210675","0,0178671","0,0400766","2,5407553","3,5484051","0,3552536","0,7715381","4,8239561","2,4416136"
FRSG.DE,"-15,48","0,100605","24,81","0,0007424","0,0081115","0,0270845","0,0557728","0,0520231","6,4000947","8,7674877",0,0,0,
FEVG.DE,"-31,36","0,1807334","33,33","0,0016298","0,0312504","0,00999","0,0115763","0,0335084","3,6323631","5,7155596","0,1632306","0,261817","0,9883511",
FPHG.DE,"-10,63","0,0636722","30,27","0,0011729","0,0318801","0,0156086","0,0146047","0,0556352","0,9218036","1,0837512","0,2326217","1,0775962","1,347265","0,4598554"
FRAG.DE,"-127,72","0,7847153","47,33","0,0290194","0,02863","0,0153584","0,0096345","0,030903","0,8334842","0,8722172","0,4314763","1,110581","4,4695001","3,5979466"
FNTGn.DE,"-63,65","0,4053742","56,49","0,0180019","0,0223957","0,0153326","0,0079492","0,0400863","0,7876857","0,8652223","0,2345482","0,482268","1,7267619","1,0445752"
FREG.DE,"-179,51","1,0941524","51,91","0,0616523","0,0269814","0,0165953","0,0184532","0,0276006","1,361122","1,7342466","0,341614","1,3242177","2,88739","2,6538489"
FMEG.DE,"-199,79","1,2288343",50,"0,0629413","0,0228868","0,0163901","0,0121399","0,0235226","1,4910496","1,7885677","0,3416699","0,895484","2,8899673","3,2438997"
FNGG.F,"-30,56","0,1869498","32,06","0,0016143","0,0305814","0,0609229","0,0384817","0,1437883",,,0,,,
CEAG.DE,"-73,66","0,4189177","15,62","0,0042757","-0,0270611","0,0215349","0,0196741","0,0518341","1,4380332","2,2566536","0,204875","0,7813287","1,6555212",
FROG_p.F,"-1,9","0,0115445","0,38","0,0000308","0,0280972","0,3768957","0,0195325","0,4842475",,,,,,
FROG.F,"-2,44","0,0150106","0,77","0,0000077","0,0296144","0,1239959","0,015362","0,3579035",,,,,,
FPEG_p.DE,"-92,64","0,5811074","53,44","0,0345308","0,0204745","0,0157497","0,0094085","0,0366071","2,2893157","3,1812725","0,0118768","0,0165544","0,0474785","-0,0793821"
FPEG.DE,"-83,95","0,5187385","60,69","0,0280508","0,0157441","0,0157033","0,0106818","0,0346591","2,2893157","3,1812725","0,0118768","0,0165544","0,0474785",
G1AG.DE,"-148,3","0,9097655","53,05","0,0292974","0,0286674","0,0179406","0,0094757","0,0392023","1,6201152","1,8938257","0,0756284","0,1627987","0,7341957","-0,434239"
WWGG.F,"-3126,49","18,6662223","6,51","0,1247575","0,4916559","0,0257981","0,009177","0,0303963","1,277118","1,3523357","0,0636462","0,1369072","1,3088042",
GMEG.DE,"-35,97","0,2147419","43,15","0,0006732","0,0206275","0,018317","0,0104533","0,0391127","4,6081548","5,8451717","0,0885473","0,1189944","0,7700411",
GXIG.DE,-176,"1,0864613","51,15","0,0503432","0,0260726","0,0170069","0,01179","0,0327939","0,8031432","1,0816761","0,4087859","1,5792211","3,7608522","3,4360869"
GWIG.DE,"-53,55","0,336911","60,31","0,0122284","0,0249465","0,0301092","0,0239008","0,0372767","2,5049835","3,5683276","0,2671401","0,5187527","2,1794833","1,1461576"
GSC1n.DE,"-117,18","0,7225196","48,85","0,0109201","0,028055","0,0098646","0,0081567","0,0312455","2,1324248","3,2993216","0,285739","0,6508241","2,2647047",
GFKG.DE,"-118,79","0,7342444","54,96","0,0141955","0,0269398","0,0236181","0,0103575","0,0343933","0,9112207",,"0,2840893","0,7428227","1,7843547","1,2888752"
