InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
BEZ.DE	-24,0500000	0,1456612	49,2100000	0,0016138	0,0349122	0,0215269	0,0112049	0,0383329	1,6358874	2,0763070	0,2755716	1,1385121	3,7007348	-0,4267795	0,0215269	0,0112049	0,0383329	1,6358874	2,0763070	0,2755716	1,1385121	3,7007348	-0,4267795
MBHG_p.F	-583,5800000	3,3830255	28,2400000	0,0817667	0,1847876	0,0134286	0,0081959	0,0353058	3,0531668	3,7753883	0,0000000	0,0000000	0,0000000		0,0134286	0,0081959	0,0353058	3,0531668	3,7753883	0,0000000	0,0000000	0,0000000	
BDTG.DE	-289,4900000	1,7787638	59,1600000	0,0741222	0,0031820	0,0191990	0,0114876	0,0399262	1,6608290	1,6635480	0,0704110	0,1240285	0,3421130	-0,1575603	0,0191990	0,0114876	0,0399262	1,6608290	1,6635480	0,0704110	0,1240285	0,3421130	-0,1575603
ARTG.DE	-245,2000000	1,4073231	50,3800000	0,0421912	0,0307520	0,0240285	0,0206530	0,0536027	3,7271554		0,0000000	0,0000000	0,0000000	-2,1333083	0,0240285	0,0206530	0,0536027	3,7271554		0,0000000	0,0000000	0,0000000	-2,1333083
BHSG.F	-59,2400000	0,3546239	6,4900000	0,0017619	0,0402344	0,0277356	0,0272048	0,0428304	3,2069871	4,8053586	0,0153933	0,0470476	0,1367163		0,0277356	0,0272048	0,0428304	3,2069871	4,8053586	0,0153933	0,0470476	0,1367163	
BIJG.DE	-118,8600000	0,7353483	47,7100000	0,0152291	0,0263707	0,0139394	0,0096294	0,0307505	7,0471566	8,9766383	0,0000000	0,0000000	0,0000000		0,0139394	0,0096294	0,0307505	7,0471566	8,9766383	0,0000000	0,0000000	0,0000000	
GBFG.DE	-127,4600000	0,7928060	47,3300000	0,0299732	0,0265701	0,0241305	0,0163742	0,0410007	1,0323461	1,0876851	0,1053241	0,3747426	2,0580475	2,1017377	0,0241305	0,0163742	0,0410007	1,0323461	1,0876851	0,1053241	0,3747426	2,0580475	2,1017377
B8FGn.DE	-14,4500000	0,0846707	50,0000000	0,0014591	0,0275302	0,0314517	0,0192501	0,0685610	2,3474567	2,8458918	1,2737531	-2,5155640	-1,2844054		0,0314517	0,0192501	0,0685610	2,3474567	2,8458918	1,2737531	-2,5155640	-1,2844054	
BIOG.DE	-62,0700000	0,3746099	44,0600000	0,0096010	0,0309739	0,0242396	0,0126399	0,0391282	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087		0,0242396	0,0126399	0,0391282	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087	
BIOG_p.DE	-53,9600000	0,3297048	55,3400000	0,0106298	0,0232224	0,0244535	0,0101136	0,0391649	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087	7,4844783	0,0244535	0,0101136	0,0391649	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087	7,4844783
BTBA.DE	-4,7800000	0,0290967	35,7400000	0,0002985	0,0329729	0,0384114	0,0326561	0,0512305	2,5697039	2,7544796	0,0955724	0,1473863	-1,4248264	-2,5228924	0,0384114	0,0326561	0,0512305	2,5697039	2,7544796	0,0955724	0,1473863	-1,4248264	-2,5228924
BMWG_p.DE	-203,4500000	1,2529405	58,4000000	0,0679965	0,0095319	0,0200310	0,0102227	0,0340093	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313		0,0200310	0,0102227	0,0340093	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313	
BMWG.DE	-249,0400000	1,5535700	51,1500000	0,0926937	0,0167855	0,0208017	0,0115104	0,0348236	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313	0,0335535	0,0208017	0,0115104	0,0348236	0,9426751	1,1114635	0,5060752	2,0487421	4,9297313	0,0335535
BSYG.F	-0,5300000	0,0029924	6,2500000	-0,0000014	0,0245859	0,1481100	0,2419055	0,1600099							0,1481100	0,2419055	0,1600099						
BNNn.DE	-72,5000000	0,4210728	44,3300000	0,0050039	-0,0997967	0,0255644	0,0369669	0,0420498	1,9503036		0,0000000	0,0000000	-0,0000000		0,0255644	0,0369669	0,0420498	1,9503036		0,0000000	0,0000000	-0,0000000	
BNRGn.DE	-128,9600000	0,7889202	50,0000000	0,0356798	0,0272217	0,0171470	0,0110021	0,0256601	1,7820461	2,2979470	0,3226542	0,8505517	2,8013690	2,1159237	0,0171470	0,0110021	0,0256601	1,7820461	2,2979470	0,3226542	0,8505517	2,8013690	2,1159237
